Update,,Perk,Change,,Item,Change,,Weapon,Change,,Map,Change,,,Other
"1.0.0.0
Armageddon
Aug 11 2026",,New Perks Added,Handgun Reloading,,Rescue Beacon,Added to the game,,All Firearms,Firearms now have a chance to spawn with varying amounts of ammo within them based on difficulty.,,Game Modes Added,Solo,,New Currency,Merits
,,,Rifle Reloading,,,,,,,,,Survival,,,
,,,Shotgun Reloading,,,,,,,,,,,,
,,,,,,,,All Melee,Held interacts can now be started before a melee swing is fully resolved.,,Objective Map Added,Raven Rock,,New Weekly Assignments,
,,Perks Removed,Averaging,,,,,,,,,Flooded,,,
,,,Guts,,,,,,,,,Lighthouse,,,
,,,Teddy Bear,,,,,Slashing Weapons,Now all deal 5 stability quick attack damage.,,,Night of the Living Dead,,New Achievements,
,,,,,,,,,Now all deal 10 stability strong attack damage.,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,1-Handed Weapons,Reduced time to begin strong attack by 10%.,,,,,New Tutorial,
,,,,,,,,,Reduced time to begin charged attack by 20%.,,All Maps,"Zombie pressure across all maps has been tuned, refactored, to feel more appropriate to each experience based on the difficulty tunings mentioned above.",,,
,,,,,,,,,,,,,,,
,,,,,,,,2-Handed Weapons,Reduced time to begin charged attack by 10%.,,,,,Responder Customization,"Added several new cosmetics to the Outfit selection, earnable through Credits or Merits."
,,,,,,,,,,,,Carryables like fuses are now placed slightly further from the associated objective with additional spawn variations.,,,
,,,,,,,,,,,,,,,Added new cosmetic types: Compass & Flashlight.
,,,,,,,,"(Damage values shown as X/Y/Z are Quick, Strong, and Charged attacks)",,,,Objectives now scale in difficulty based on the remaining player count available at its start.,,,Updated the pricing of all cosmetic options available.
,,,,,,,,Mallet,Replaces Small Pipe in default inventory.,,,,,,Cosmetics are now sorted based on their level unlock requirements.
,,,,,,,,,Moved from Tier 2 to Tier 1.,,,Optimized collision for objects outside of bounds across maps.,,,Added new voice character set: Wright
,,,,,,,,,Decreased base damage from 13/15/20 to 10/13/15,,,,,,
,,,,,,,,,Decreased headshot damage from 25/30/35 to 20/25/30,,,Added some additional time to extract for rope extraction beats.,,,
,,,,,,,,,Decreased stability damage from 25/50/50 to 25/35/45,,,,,Traversal,Reduced shove stamina cost from 25 to 15
,,,,,,,,,,,,Adjusted spawn rate of Tier 3 Weapons to favor later stages of maps.,,,Reduced stamina recharge timer.
,,,,,,,,Small Wrench,Increased charged swing speed by 12%.,,,,,,Increased sprint speed from 370 to 380
,,,,,,,,,Increased base strong attack damage from 10 to 13,,,,,,Increased sprint speed during angular movement.
,,,,,,,,,Decreased strong stability damage from 45 to 35,,Beaulieu Hospital,Slightly moved back ventilation parts that were very close to the ventilation van.,,,Responders can now kick while carrying 1-Handed Objective items.
,,,,,,,,,,,,,,,
,,,,,,,,Small Pipe,Moved from Tier 1 to Tier 2.,,,Fixed multiple exploitable areas throughout Beaulieu Hospital.,,,
,,,,,,,,,Increased headshot damage from 20/25/30 to 20/30/35,,,,,Zombies,Fixed various locations where zombies can spawn clipping or floating in various maps
,,,,,,,,,,,,,,,
,,,,,,,,Tire Iron,Fixed an issue where the Tire Iron was not dealing its intended base heavy attack damage (20).,,Power Plant,Removed the Bio-Scanner initial objective scenario.,,,Improved zombie ragdolls on impact and death
