,Account Level,EXP,,Account Level,EXP,,Account Level,EXP,,Account Level,EXP,,Account Level,EXP
,1,"1,200",,21,"2,500",,41,"4,000",,61,"7,500",,81,"15,000"
,2,"1,200",,22,"2,500",,42,"4,000",,62,"7,500",,82,"15,000"
,3,"1,200",,23,"2,500",,43,"4,000",,63,"7,500",,83,"15,000"
,4,"1,200",,24,"2,500",,44,"4,000",,64,"7,500",,84,"15,000"
,5,"1,200",,25,"2,500",,45,"4,000",,65,"7,500",,85,"15,000"
,6,"1,200",,26,"2,500",,46,"4,000",,66,"7,500",,86,"15,000"
,7,"1,200",,27,"2,500",,47,"4,000",,67,"7,500",,87,"15,000"
,8,"1,200",,28,"2,500",,48,"4,000",,68,"7,500",,88,"15,000"
,9,"1,200",,29,"2,500",,49,"4,000",,69,"7,500",,89,"15,000"
,10,"1,500",,30,"2,500",,50,"4,000",,70,"7,500",,90,"15,000"
,11,"1,500",,31,"3,000",,51,"6,000",,71,"10,000",,91,"15,000"
,12,"1,500",,32,"3,000",,52,"6,000",,72,"10,000",,92,"15,000"
,13,"1,500",,33,"3,000",,53,"6,000",,73,"10,000",,93,"15,000"
,14,"1,500",,34,"3,000",,54,"6,000",,74,"10,000",,94,"15,000"
,15,"1,500",,35,"3,000",,55,"6,000",,75,"10,000",,95,"15,000"
,16,"1,500",,36,"3,000",,56,"6,000",,76,"10,000",,96,"15,000"
,17,"1,500",,37,"3,000",,57,"6,500",,77,"10,000",,97,"15,000"
,18,"1,500",,38,"3,000",,58,"6,500",,78,"10,000",,98,"15,000"
,19,"1,500",,39,"3,000",,59,"6,500",,79,"10,000",,99,"15,000"
,20,"1,500",,40,"3,000",,60,"6,500",,80,"10,000",,100~1000,"20,000"
,,,,,,,,,,,,,,
,Both Account Level and Character Level currently have a cap of 1000; you do not earn anything past 100.,,,,,,,,,,TOTAL,,1-100,"644,300"
,,,,,,,,,,,,,100-1000,"18,000,000"
,,,,,,,,,,,,,,
,Character Level,EXP,,Character Level,EXP,,Character Level,EXP,,Character Level,EXP,,Character Level,EXP
,1,"1,000",,21,"2,000",,41,"3,000",,61,"5,000",,81,"7,000"
,2,"1,000",,22,"2,000",,42,"3,000",,62,"5,000",,82,"7,000"
,3,"1,000",,23,"2,000",,43,"3,000",,63,"5,000",,83,"7,000"
,4,"1,000",,24,"2,000",,44,"3,000",,64,"5,000",,84,"7,000"
,5,"1,000",,25,"2,000",,45,"3,000",,65,"5,000",,85,"7,000"
,6,"1,000",,26,"2,000",,46,"3,000",,66,"5,000",,86,"7,000"
,7,"1,000",,27,"2,000",,47,"3,000",,67,"5,000",,87,"7,000"
,8,"1,000",,28,"2,000",,48,"3,000",,68,"5,000",,88,"7,000"
,9,"1,000",,29,"2,000",,49,"3,000",,69,"5,000",,89,"7,000"
,10,"1,000",,30,"2,000",,50,"3,000",,70,"5,000",,90,"7,000"
,11,"1,000",,31,"2,500",,51,"5,000",,71,"5,000",,91,"7,000"
,12,"1,500",,32,"2,500",,52,"5,000",,72,"5,000",,92,"7,000"
,13,"1,500",,33,"2,500",,53,"5,000",,73,"5,000",,93,"7,000"
,14,"1,500",,34,"2,500",,54,"5,000",,74,"5,000",,94,"7,000"
,15,"1,500",,35,"2,500",,55,"5,000",,75,"5,000",,95,"7,000"
,16,"1,500",,36,"2,500",,56,"5,000",,76,"7,000",,96,"7,000"
,17,"1,500",,37,"2,500",,57,"5,000",,77,"7,000",,97,"7,000"
,18,"1,500",,38,"2,500",,58,"5,000",,78,"7,000",,98,"7,000"
,19,"1,500",,39,"2,500",,59,"5,000",,79,"7,000",,99,"7,000"
,20,"1,500",,40,"2,500",,60,"5,000",,80,"7,000",,100~1000,"80,000"
,,,,,,,,,,,,,,
,,,,,,,,,,,TOTAL,,1-100,"392,500"
,,,,,,,,,,,,,100-1000,"72,000,000"
