ITEM,,1.0,,,,Pre 1.0,,,
,,Credits,,Acclvl,Charlvl,Credits,,Acclvl,Charlvl
,,,,,,,,,
GEAR,,,,,,,,,
,.22 LR ,,50,2,,,150,2,
,9mm ,,100,4,,,150,4,
,.357 Magnum ,,200,11,,,150,11,
,.45 ACP ,,150,9,,,150,9,
,.308 WIN ,,250,12,,,300,12,
,5.56 NATO ,,250,13,,,300,13,
,6.8x51mm ,,350,15,,,300,15,
,12GA Shotgun Shells,,250,7,,,300,7,
,Barricade Stack (x5),,100,8,,,150,8,
,Flashlight Battery ,,50,5,,,150,5,
,Deployable Radio,,300,47,,,300,47,40
,Deployable Worklight ,,300,28,,,300,28,20
,Ranger Boots ,,300,38,,,300,38,40
,Nailer ,,300,33,,,300,33,20
,Adrenaline Shot ,,,,,,450,48,40
,Body Armor ,,,,,,450,55,50
,Satchel ,,"1,500",59,,,450,59,50
,Ammo Crate ,,,,,,"3,000",42,40
,Rescue Beacon,,"2,000",0,,,,,
,,,1,,,,,,
,,,,,,,,,
MEDICAL,,,,,,,,,
,Bandages,,150,6,,,150,6,
,Medkit ,,300,41,,,300,41,40
,Phalanx Pills,,400,31,,,450,31,20
,Revive Syringe,,"1,600",51,,,"1,200",51,50
,Mass Casualty Kit ,,,,,,"3,000",65,50
,Experimental Gene Therapy,,,,,,"3,000",69,50
,,,,,,,,,
THROWABLES,,,,,,,,,
,M67 Frag Grenade ,,300,0,,,15,,
,Proximity IED ,,400,19,,,300,19,
,Molotov Cocktail ,,200,24,,,450,24,20
,Pipe Bomb ,,450,57,,,150,57,50
,,,,,,,,,
MELEE,,,,,,,,,
,Small Pipe (Pre 1.0 Starter Item),,800,12,,,0,,
,Mallet (1.0 Starter Item),,0,0,,,400,3,
,Kitchen Knife,,100,0,,,300,3,
,Rebar,,400,22,,,400,22,20
,Shovel,,400,34,,,400,34,20
,Adjustable Wrench,,100,10,,,400,10,20
,Wood Baseball Bat,,800,37,,,800,37,40
,Cleaver,,800,26,,,800,26,20
,Hockey Stick,,400,36,,,800,36,40
,Tire Iron,,800,18,,,800,18,20
,Tree Trimmer,,800,39,,,800,39,40
,Large Wrench,,800,29,,,800,29,20
,Claw Hammer,,,,,,"1,200",45,40
,Crowbar,,,,,,"1,200",42,40
,Fire Axe,,,,,,"1,200",71,50
