"Zombies(Walkers) have 100hp, Shriekers(Shamblers) have 70hp, Bloodied(Prime) Zombies have 130hp,
Construction/Firefighter Helmets = 30hp, Riot = 60hp, NG = 90hp, Shield = 200hp, Legs = 70hp, Arms = 60hp",,,,,,,,,Damage Falloff by Range Graphs
"Penetration Needed for Helmets: Construction/Firefighter = 1, Riot = 2, NG = 3, Shield = 3",,,,,,,,,
Weapon,,,Information,Stats,,Ammo,,,
Shotgun,"Double Barrel Shotgun


DT11",,,Damage,17,,,,
,,,,Headshot Damage,20,,,,"These graphs are the best I can do atm to display the various damage falloffs of firearms over range, Not every weapon has it's own customized falloff file yet, so I think anything that isn't directly named is likely using the 'Heavy Rifle/Light Rifle/Handgun' falloffs but they could also be Legacy files that are still sitting alongside this new stuff. On the Shotgun Graph I forgot to combine the 590 & RX12, but they share the exact same falloff."
,,,,Limb Damage,15,,,,
,,,,Stability Damage,15,,,,
,,,,Damage Falloff Per Pen,80%,,,,
,,,,Stability Damage Falloff Per Pen,5%,,,,
,,,,Base # Penetration,1,,,,
,,,,Pellets,10,,,,
,,,,Ammo Capacity,2,12ga Shell,,,
,,2.25KG,,Range,30m,,0.50KG | Min,,
,,,,Sound Range,45m,,0.040KG /Per,,
,M590A1,,,Damage,17,,,,
,,,,Headshot Damage,20,,,,
,,,,Limb Damage,15,,,,
,,,,Stability Damage,10,,,,
,,,,Damage Falloff Per Pen,80%,,,,
,,,,Stability Damage Falloff Per Pen,5%,,,,
,,,,Base # Penetration,1,,,,
,,,,Pellets,10,,,,
,,,,Ammo Capacity,8,12ga Shell,,,
,,3.00KG,,Range,30m,,0.50KG | Min,,
,,,,Sound Range,45m,,0.040KG /Per,,
,X12 Super,,,Damage,17,,,,
,,,,Headshot Damage,20,,,,
,,,,Limb Damage,15,,,,
,,,,Stability Damage,10,,,,
,,,,Damage Falloff Per Pen,80%,,,,
,,,,Stability Damage Falloff Per Pen,5%,,,,
,,,,Base # Penetration,1,,,,
,,,,Pellets,10,,,,
,,,,Ammo Capacity,6,12ga Shell,,,
,,2.75KG,,Range,30m,,0.50KG | Min,,
,,,,Sound Range,45m,,0.040KG /Per,,
Handgun,"M9A3
",,,Damage,15,,,,
,,,,Headshot Damage,50,,,,
,,,,Limb Damage,20,,,,
,,,,Stability Damage,20,,,,
,,,,Base # Penetration,0,,,,
,,,,Ammo Capacity,15+1,9mm,,,
,,1.00KG,,Range,45m,,0.35KG | Min,,
,,,,Sound Range,45m,,0.015KG /Per,,
,Model 13,,,Damage,24,,,,
,,,,Headshot Damage,100,,,,
,,,,Limb Damage,20,,,,
,,,,Stability Damage,20,,,,
,,,,Damage Falloff Per Pen,50%,,,,
,,,,Stability Damage Falloff Per Pen,50%,,,,
,,,,Base # Penetration,2,,,,
,,,,Ammo Capacity,6,.357 Magnum,,,
,,1.00KG,,Range,50m,,0.45KG | Min,,
,,,,Sound Range,45m,,0.025KG /Per,,
,M1911,,,Damage,20,,,,
,,,,Headshot Damage,100,,,,
,,,,Limb Damage,20,,,,
,,,,Stability Damage,25,,,,
,,,,Base # Penetration,0,,,,
,,,,Ammo Capacity,7+1,.45 ACP,,,
,,1.00KG,,Range,40m,,0.45KG | Min,,
,,,,Sound Range,45m,,0.025KG /Per,,
,Gruber MKVII,,,Damage,12,,,,
,,,,Headshot Damage,35,,,,
,,,,Limb Damage,8,,,,
,,,,Stability Damage,10,,,,
,,,,Base # Penetration,0,,,,
,,,,Ammo Capacity,10+1,.22LR,,,
,,1.00KG,,Range,45m,,0.35KG | Min,,
,,,,Sound Range,45m,,0.010KG /Per,,
SMG,MP5A4,,,Damage,15,,,,
,,,,Headshot Damage,70,,,,
,,,,Limb Damage,15,,,,
,,,,Stability Damage,20,,,,
,,,,Base # Penetration,0,,,,
,,,,Ammo Capacity,30+1,9mm,,,
,,2.00KG,,Range,50m,,0.35KG | Min,,
,,,,Sound Range,45m,,0.015KG /Per,,
Rifle,MC15,,,Damage,20,,,,
,,,,Headshot Damage,130,,,,
,,,,Limb Damage,15,,,,
,,,,Stability Damage,25,,,,
,,,,Damage Falloff Per Pen,30%,,,,
,,,,Stability Damage Falloff Per Pen,30%,,,,
,,,,Base # Penetration,2,,,,
,,,,Ammo Capacity,30+1,5.56 NATO,,,
,,2.50KG,,Range,100m,,0.50KG | Min,,
,,,,Sound Range,45m,,0.025KG /Per,,
,Gruber Ranch Rifle,,,Damage,20,,,,
,,,,Headshot Damage,130,,,,
,,,,Limb Damage,15,,,,
,,,,Stability Damage,25,,,,
,,,,Damage Falloff Per Pen,50%,,,,
,,,,Stability Damage Falloff Per Pen,50%,,,,
,,,,Base # Penetration,2,,,,
,,,,Ammo Capacity,10+1,5.56 NATO,,,
,,2.25KG,,Range,100m,,0.50KG | Min,,
,,,,Sound Range,45m,,0.025KG /Per,,
,M7A1,,,Damage,40,,,,
,,,,Headshot Damage,150,,,,
,,,,Limb Damage,20,,,,
,,,,Stability Damage,25,,,,
,,,,Damage Falloff Per Pen,15%,,,,
,,,,Stability Damage Falloff Per Pen,10%,,,,
,,,,Base # Penetration,3,,,,
,,,,Ammo Capacity,20+1,6.8x51mm,,,
,,3.25KG,,Range,100m,,0.50KG | Min,,
,,,,Sound Range,45m,,0.040KG /Per,,
,"Gruber 922
(Ruger 10/22)",,,Damage,12,,,,
,,,,Headshot Damage,35,,,,
,,,,Limb Damage,8,,,,
,,,,Stability Damage,10,,,,
,,,,Damage Falloff Per Pen,15%,,,,
,,,,Stability Damage Falloff Per Pen,10%,,,,
,,,,Base # Penetration,0,,,,
,,,,Ammo Capacity,25+1,.22LR,,,
,,2.00KG,,Range,50m,,0.35KG | Min,,
,,,,Sound Range,45m,,0.010KG /Per,,
,Rochester 1873,,,Damage,20,,,,
,,,,Headshot Damage,100,,,,
,,,,Limb Damage,20,,,,
,,,,Stability Damage,20,,,,
,,,,Damage Falloff Per Pen,0%,,,,
,,,,Stability Damage Falloff Per Pen,0%,,,,
,,,,Base # Penetration,2,,,,
,,,,Ammo Capacity,13+1,.357 Magnum,,,
,,2.25KG,,Range,100m,,0.45KG | Min,,
,,,,Sound Range,45m,,0.025KG /Per,,
Heavy Rifle,Hunter 85,,,Damage,35,,,,
,,,,Headshot Damage,150,,,,
,,,,Limb Damage,50,,,,
,,,,Stability Damage,80,,,,
,,,,Damage Falloff Per Pen,30%,,,,
,,,,Stability Damage Falloff Per Pen,30%,,,,
,,,,Base # Penetration,3,,,,
,,,,Ammo Capacity,5+1,.308WIN,,,
,,2.25KG,,Range,100m,,0.50KG | Min,,
,,,,Sound Range,45m,,0.040KG /Per,,
,M14 Battle Rifle,,,Damage,35,,,,
,,,,Headshot Damage,150,,,,
,,,,Limb Damage,50,,,,
,,,,Stability Damage,50,,,,
,,,,Damage Falloff Per Pen,30%,,,,
,,,,Stability Damage Falloff Per Pen,30%,,,,
,,,,Base # Penetration,3,,,,
,,,,Ammo Capacity,20+1,.308WIN,,,
,,3.00KG,,Range,100m,,0.50KG | Min,,
,,,,Sound Range,45m,,0.040KG /Per,,
