"Zombies(Walkers) have 100hp, Shriekers(Shamblers) have 70hp, Bloodied(Prime) Zombies have 130hp,
Construction/Firefighter Helmets = 30hp, Riot = 60hp, NG = 90hp, Shield = 200hp, Legs = 70hp, Arms = 60hp",,,,,,,,,
"While Stamina Starved: You deal 10% decreased Damage, 50% decreased Limb Damage, 50% decreased Stability Damage, +2s Stamina Regen delay",,,,,,,,,
Weapon,,Picture,Main Stats,AMT,Stamina Cost,Additional Stats,AMT,Additional Stats,AMT
,,,,,,,,,
Unarmed,Shove,,i-frames while performing?,TRUE,,,,,
,,,Stamina Cost,20,,Additional Notes,,,
,,,Stability Damage,20,,Stability Damage Thresholds,0 - 19 = Flinch,,
,,,Angle°,180,,,20 - 49 = Interrupt,,
,,,Max Targets,1,,,50 - 99 = Stagger,,
,,,Range,150,,,100 = Knockdown,,
,,,,,,"**When a zombie is knocked down, it takes 100% increased damage from all sources.",,,
,,,,,,,,,
,,,,,,"When removing a limb from a zombie, they will experience a stagger.",,,
,,,,,,,,,
,Kick,,i-frames while performing?,TRUE,,,,,
,,,Stamina Cost,50,,,,,
,,,Stability Damage,100,,,,,
,,,Angle°,180,,,,,
,,,Max Targets,3,,,,,
,,,Range,200,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Bladed
One-Handed","Kitchen Knife
",,Damage,15,5,Initial Hit Dmg Multiplier,1.0,Throw Damage,35
,,,Strong Damage,18,7,Secondary Hit Dmg Multiplier,0.7,Throw Stability Damage,20
,,,Charged Damage,25,13,Tertiary Hit Dmg Multiplier,0.5,Throw Limb Damage,50
,,,Headshot Damage,25,,Initial Hit Limb Multiplier,1.0,Throw Stamina Cost,10
,,,Strong Headshot Damage,38,,Secondary Limb Dmg Multiplier,0.7,,
,,,Charged Headshot Damage,40,,Tertiary Limb Dmg Multiplier,0.5,Quick Stamina per Cleave,5
,,,Limb Damage,20,,Initial Hit Stability Multiplier,1,Strong Stamina per Cleave,5
,,,Strong Limb Damage,30,,Secondary Stab Dmg Multiplier,0,Charged Stamina per Cleave,5
,,,Charged Limb Damage,30,,Tertiary Stability Dmg Multiplier,0,,
,,,Stability Damage,5,,Attack & Combo Play Rate,1.2x,,
,,,Strong Stability Damage,10,,Charged Attack Play Rate,1.2x,,
,,,Charged Stability Damage,20,,Range,160,,0.50KG
,"Cleaver
",,Damage,15,5,Initial Hit Dmg Multiplier,1.0,Throw Damage,35
