Sound Source,"Stimuli 
Duration","Sound 
Radius",Priority,Level,,,,,,Map Timeline,,,,
,,,,,,,Throwing Stats:,,,Days Since Outbreak,Date,Time,Map Name,Location
Player: Walk,1.0,400,Low,Small,,1H Blunt:,2H Blunt:,Small Items: (Battery/Bandage/Medkit/Pipebomb/Grenade),,3,September 16 2028,11:32 AM,CRC TRAINING CAMP,"Nexrad Station NWCX, Pennsylvania"
Player: Sprint,1.0,1000,Normal,Small,,Stamina Cost: 10,Stamina Cost: 20,Stamina Cost: 5,,4,September 17 2028,11:20 PM,NIGHT OF THE LIVING DEAD,"Butler County, Pennsylvania"
Player: Crouch,1.0,100,Lowest,Smallest,,Damage: 25,Damage: 40,Damage: 10,,5,September 18 2028,7:13 AM,LIGHTHOUSE,"Cape Elizabeth, Maine"
Player: Jump,-,-,-,-,,Stability Damage: 50,Stability Damage: 100,Stability Damage: 20,,6,September 19 2028,7:36 AM,FLOODED,"Berks County, Pennsylvania"
Zombie Shriek,30.0,3000,High,Medium,,,,,,7,September 20 2028,10:31 PM,POWER PLANT,"Berks County, Pennsylvania"
House/Store Alarm,60.0,4500,Highest,Longest,,,,,,8,September 21 2028,5:44 AM,POTTSVILLE,"Schuylkill County, Pennsylvania"
Radio,10.0,4500,Highest,Medium,,,,,,10,September 23 2028,8:15 PM,LEWISTON,"Androscoggin County, Maine"
Explosion,15.0,4500,High,Medium,,1H Bladed:,2H Bladed:,Firearms:,,13,September 26 2028,12:07 AM,BROADWAY,"Jackson Heights, New York City"
Pipebomb,15.0,2000,Highest,Longest,,Stamina Cost: 10,Stamina Cost: 20,Stamina Cost: 10,,18,October 1 2028,2:07 PM,BEAULIEU HOSPITAL,"Manhattan, New York City"
Gunshot: Pistol,2.0,4500,High,Medium,,Damage: 35,Damage: 35*,Damage: 25,,21,October 3 2028,9:40 AM,RAVEN ROCK,"Adams County, Pennsylvania"
Gunshot: Shotgun/Rifle/Assault Rifle,2.0,4500,Highest,Long,,Stability Damage: 20,Stability Damage: 100*,Stability Damage: 20,,,,,,
Gunshot: Suppressed,1.0,1000,High,Medium,,Limb Damage: 50,Limb Damage: 100,,,,,,██████████,█████████████████
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Player Stability:
0 - 59 = Flinch
60 - 80 = Interrupt
81 - 100 = Stagger",,,,,,,,,,,,,,
"Regen Rate 100, no delay",,,,,,,,,,,,,,
