"**I'm only 1 person maintaining the raw data, so things can easily be missed (I only have the available data, not serverside changes). I always welcome the help of the community when it comes to the sheet since I made it for you guys. If you find anything I've missed or inaccuracies please DM me.",,,,,,,,,,,
Update,,Perk,Change,,Item,Change,,Weapon,Change,,Other
1.0.4.0 Hotfix,,,,,,,,,,,Thankfully there's no hidden changes to post
,,,,,,,,,,,https://www.nmrih2.com/2026/08/25/hotfix-notes-1-0-4-0/
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"1.0.0.0
Armageddon
Aug 11 2026",,New Perks Added,Handgun Reloading,,Rescue Beacon,Added to the game,,Firearms,,,Player
,,,Rifle Reloading,,,,,Gruber 922 ,Penetrations 1 -> 0,,Stamina Regen Rate: Idle 50/s -> 55/s
,,,Shotgun Reloading,,Critical Supply,Credit Value: 100 -> 300,,,Damage 5 -> 12,,Stamina Regen Rate: Walking 30/s -> 35/s
,,,,,,,,,,,Shove Stamina Cost: 25 -> 20
,,Perks Removed,Averaging,,Hunting Scope,Range: -20% -> +20%,,Gruber MKVII ,Damage 5 -> 12,,Sprint Speed Increase in notes not applied?
,,,Guts,,,,,,,,
,,,Teddy Bear,,Suppressor,No longer reduces range.,,M7 Damage ,35 -> 40,,Zombies
,,,,,,,,,,,Runner Basic Damage 25 -> 20
,,,,,Holographic Optic,Targeting Spread Multiplier: 0.5 -> 0.7,,M9A1 ,Damage 10 -> 15,,Runner Lunge Damage 25 -> 20
,,Handgun Reloading,Reload Speed +20%,,,Recoil Reduction removed.,,,,,
,,Handgun Reloading Ultimate,Reload Speed +40%,,,,,M590A1 ,Recoil Pitch 2.0 -> 5.0,,Prime Runner Basic Damage 30 -> 25
,,,,,,,,,Recoil Pitch First Shot 1.5 -> 4.5,,Prime Runner Lunge Damage 30 -> 25
,,Rifle Reloading,Reload Speed +20%,,,,,,,,
,,Rifle Reloading Ultimate,Reload Speed +40%,,,,,M1911,Damage 15 -> 20,,Walker Basic Damage 10 -> 20
,,,,,,,,,Recoil Pitch 0.7 -> 1.25,,Walker Heavy Damage 15 -> 20
,,Shotgun Reloading,Reload Speed +20%,,,,,,,,
,,Shotgun Reloading Ultimate,Reload Speed +40%,,,,,Model 13 ,Damage 20 -> 24,,Prime Walker Basic Damage 15 -> 25
,,,,,,,,,Recoil Pitch 2.0 -> 3.0,,Prime Walker Heavy Damage 20 -> 25
,,,,,,,,,Recoil Pitch First Shot 2.0 -> 3.3,,Prime Walker Lunge Damage 20 -> 25
,,,,,,,,,Cooldown 0.85 -> 0.7,,
,,,,,,,,,,,Firefighter Zombie is now Immune to Fire
,,,,,,,,MP5,Damage 10 -> 15,,
,,,,,,,,,,,Early Extract now opens after 8 Minutes for everyone alive.
