,,"Reroll Costs
(in Credits)","Level 1: 100                          Level 30: 350
Level 5: 150                          Level 40: 400
Level 10: 200                        Level 50: 450
Level 15: 250                        Level 75: 500
Level 20: 300                        Level 100: 500",,"Upgrade to Expert:
1000",,
"Note: ""Multiplicative"" values are defined as such in the files, not by me. 
These percentages are added together before multiplying. 
Example: A +30% perk and +20% perk equal a 1.5x multiplier, not 1.56x.
(Base Value + All ""Additive"" Modifiers) * (1 + All ""Multiplicative"" Modifiers)",,,,,,,
"UNLOCK
AccLv",PERK,,DESCRIPTION,NOTES,TYPE,,
"



",,Acquired Immunity,"You are less likely to be infected by zombies.

10% Infection Resistance",Value is Additive,H,,
74,,Acquired Immunity - Expert,"You are much less likely to be infected by zombies.

20% Infection Resistance",Value is Additive,H,,
,,Adrenaline Rush,"At critical health you consume less stamina on melee attacks.

10% Less Stamina Consumption with Light/Strong/Charged Attacks
","Value is Multiplicative

You're considered 'Critical Health' at 20 HP and below",S,,
4,,Adrenaline Rush - Expert,"At critical health you consume much less stamina on melee attacks.

20% Less Stamina Consumption with Light/Strong/Charged Attacks","Value is Multiplicative

You're considered 'Critical Health' at 20 HP and below",S,,
,,Athlete,"Increased stamina.
10% Increased Total Stamina
",Value is Multiplicative,S,,
72,,Athlete - Expert,"Greatly increased stamina.

20% Increased Total Stamina",Value is Multiplicative,S,,
,,Builder,"Utility items have reduced weight.

15% less Weight of Boards
15% less Weight of Batteries",Value is Additive,U,,
71,,Builder - Expert,"Utility items have greatly reduced weight.

30% less Weight of Boards
30% less Weight of Batteries",Value is Additive,U,,
,,Butcher,"Easier to dismember zombies with melee weapons.

20% Increased Melee Damage to Limbs
","Value is Multiplicative

",D,M,
56,,Butcher - Expert,"Dismember zombies with great ease with melee weapons.

40% Increased Melee Damage to Limbs","Value is Multiplicative

",D,M,
,,Caravan,"You can carry more weight, but your stamina is reduced.

+2kg Carry Weight
15% reduced Max Stamina","Value 1 is Additive
Value 2 is Multiplicative",U,H,S
54,,Caravan - Expert,"You can carry much more weight, but your stamina is reduced.

+3kg Carry Weight
10% reduced Max Stamina","Value 1 is Additive
Value 2 is Multiplicative",U,H,S
,,Deprived,"Your max weight limit is reduced, but you have more health.

-2kg Carry Weight
10% Increased Max Health

","Value 1 is Additive
Value 2 is Multiplicative
",U,H,S
58,,Deprived - Expert,"Your max weight limit is greatly reduced, but you have more health.

-2kg Carry Weight
20% Increased Max Health
","Value 1 is Additive
Value 2 is Multiplicative
",U,H,S
,,Doorbreaker,"Kicks deal more damage to doors and barricades.

50% Increased Damage",Value is Multiplicative,U,,
46,,Doorbreaker - Expert,"Kicks deal much more damage to doors and barricades.

200% Increased Damage",Value is Multiplicative,U,,
,,Eagle Eye,"Damage falloff on Heavy Rifles is reduced.

40% more Range with Heavy Rifles",Value is Additive,W,,
28,,Eagle Eye - Expert,"Damage falloff on Heavy Rifles is greatly reduced.

80% more Range with Heavy Rifles",Value is Additive,W,,
,,Foreman,"Kicks deal damage to zombies.

+10 Damage with Kicks",Value is Additive,D,,
50,,Foreman - Expert,"Kicks deal significant damage to zombies.

+30 Damage with Kicks",Value is Additive,D,,
,,Grenadier,"Throwables and deployables have reduced weight.

10% reduced Weight of Throwables & Deployables","Value is Additive

",U,,
