,,,,,,,,,,,,,
,Loading Screen Hints 01,,Loading Screen Hints 11,,Loading Screen Hints 21,,Loading Screen Hints 31,,,,Player Tip 01,,Player Tip 11
,"""Zombies are sensitive to sound—walking, running, car alarms, and gunshots will attract them!""",,"""Gene therapy can save your life if you're infected...Or someone else's life.""",,"""NPV was originally known as """"Kulon"""", after the name given to the Neanderthal body it was discovered to originate from. The National Institutes for Disease Control gave it the lab code 732-ZH.""",,"""Yes, you will hurt yourself if you fall.""",,,,"You can use a gene therapy before you're infected. Doing so will prevent you from becoming infected for the rest of the mission.
Gene therapy must be used twice. First use is to draw blood. There will be a small waiting time while it analyzes to create anti-virus. Second use is to clear infection/make immune.",,"If you shove* right before interacting with a valve/reviving a teammate, you can keep your weapon out to keep yourself safe.

*this can be done with other animations besides shove
**Will more than likely be fixed in future"
,,,,,,,,,,,,,
,Loading Screen Hints 02,,Loading Screen Hints 12,,Loading Screen Hints 22,,Loading Screen Hints 32,,,,Player Tip 02,,Player Tip 12
,,,"""A melee weapon can be better than a gun at a choke point, just don't tire yourself out.""",,"""The source of the pandemic, the Neanderthal body named """"Kulon"""", was part of a touring exhibit called """"The Abisko Hunt"""". It included the body of a wooly mammoth in pristine condition.""",,"""Walkers are the most common zombie. They appear in large groups. Don't let them corner you!""",,,,"If you're in a hurry, you can shoot pad locks to skip the minigame. 

Padlocks have 25hp.",,"""Once you're below 50% of your HP, you have a chance to get infected. This chance goes up the less HP you have, so stay healthy!"""
,,,,,,,,,,,,,
,Loading Screen Hints 03,,Loading Screen Hints 13,,Loading Screen Hints 23,,Loading Screen Hints 33,,,,Player Tip 03,,Player Tip 13
,,,"""Equipping items in your character's Loadout will bring them with you into the match. If you die, you lose them.""",,"""The """"Lambda"""" variant of the Neutropic Pleistoscene Virus has evolved and adapted to the human body to the point it can kill a healthy adult and reanimate their corpse in a matter of minutes.""",,"""Shamblers are slow movers but their piercing screams will attract more dead!""",,,,"Passive items do not stack. (eg 2 satchels)
If you find extras, share with teammates.",,If you get grabbed below 15% Stamina it will turn into an instant bite which infects you no matter your current HP.
,,,,,,,,,,,,,
,Loading Screen Hints 04,,Loading Screen Hints 14,,Loading Screen Hints 24,,Loading Screen Hints 34,,,,Player Tip 04,,Player Tip 14
,"""Water is deadly. Don't try to swim!""",,"""Loadouts are character based and items cannot be shared between responders.""",,"""NPV is a ruthless virus that inflicts rapid inflammation in the brain and wreaks havoc on the nervous system. It is rumored to cause hallucinations, but this has not been studied.""",,"""Prime Zombies are undead who have recently devoured a victim. They are lethal and have increased Health.""",,,,You are unable to get the prompt to heal other responders if they have meds in their inventory.,,"Keep in mind where you find Passive Items, you can regularly find them in those locations."
,,,,,,,,,,,,,
,Loading Screen Hints 05,,Loading Screen Hints 15,,Loading Screen Hints 25,,,,,,Player Tip 05,,Player Tip 15
,"""Break down barricades fast by kicking or shoving them.""",,"""Supplies collected for the CRC will be added up once all players extract - help other responders out to get better rewards!""",,"""Victoria Pierce previously served as a 25B with the US Army Reserve. Her training makes her seem cold, but it gives her the skill to manage multiple teams at once.""",,,,,,Flashlights don't seem to affect zombie aggro/detection.,,"Some objectives have objects that can slow you down (like train ties or tool kits). You can throw them ahead of you, which also helps to juggle multiple."
,,,,,,,,,,,,,
,Loading Screen Hints 06,,Loading Screen Hints 16,,Loading Screen Hints 26,,,,,,Player Tip 06,,Player Tip 16
,"""Zombies can grab you more easily when you are low on stamina.""",,"""The Civil Recovery Corps was created by executive order in September 2027 as an aid organization under the Department of Health and Human Services.""",,"""Before the dead began to rise, the world seemed like it was finally beginning to break through the pandemic. Cases were dropping, and life slowly began to return to normal.""",,,,,,"If a doorway is congested with zombies, try a window. Dropping from a second floor is better than dying to a zombie.",,Locked Wooden Doors can be destroyed with a single Kick
,,,,,,,,,,,,,
,Loading Screen Hints 07,,Loading Screen Hints 17,,Loading Screen Hints 27,,,,,,Player Tip 07,,Player Tip 17
,"""Zombie hits can cause infection. Be careful, and keep them at a distance.""",,"""The CRC Responder Program was an effort to get those with specialized skillsets to voluntarily fill staffing shortages in critical fields due to the pandemic.""",,"""The NIDC and WHO had been hard at work on addressing the pandemic. They were working on a range of treatments, ranging from antiviral pills to innovative gene therapies.""",,,,,,Jump-Crouching is one of the most valuable techniques to employ; allowing you to reach higher places and also negate the climbing animation,,"There is an audible sound effect that plays when a teammate goes down, run towards the direction of the sound if they're close/check your map to see where."
,,,,,,,,,,,,,
,Loading Screen Hints 08,,Loading Screen Hints 18,,Loading Screen Hints 28,,,,,,Player Tip 08,,
,"""When you're hurt and bloody, it's more likely you'll catch the virus. Patch yourself up!""",,"""The Civil Recovery Corps was modeled after Cold War civil defense networks. It relies on decentralized and grassroots organization, which has contributed to its unexpected survival.""",,"""NATO became cognizant of the global threat of the pandemic early on. They relocated primary operations to Keflavik, Iceland, thanks to its strict quarantine and relative isolation.""",,,,,,"In the options, you can set objectives to always show, so you don't have to continually hit C to see what to do next.",,
,,,,,,,,,,,,,
,Loading Screen Hints 09,,Loading Screen Hints 19,,Loading Screen Hints 29,,,,,,Player Tip 09,,
,"""Pills can stave off infection for a while, Gene therapy will cure it. A loaded gun, however, could be your last resort.""",,"""The CRC are the most bottom rung agency, and are not a meaningful part of the larger government and global response to the ongoing crisis.""",,"""September 13, 2028 — The NPV pandemic, which had ravaged the world for two years, had reached its final form in an overnight bloodbath of global carnage. It was a Wednesday.""",,,,,,"Running is a valid option.

If an objective is overrun, leave and circle back to thin the horde.",,
,,,,,,,,,,,,,
,Loading Screen Hints 10,,Loading Screen Hints 20,,Loading Screen Hints 30,,,,,,Player Tip 10,,
,"""Always keep a single round in your firearm. A quick escape is better than becoming one of them.""",,"""The Neurotropic Pleistoscene Virus was unleashed on the world after an archeological dig near Abisko, Sweden, recovered a frozen, and infected, Neanderthal body.""",,"""Freshly reanimated bodies begin as """"runners"""", their bodies full of adrenaline. As they decay and atrophe they become """"walkers"""". The oldest and most decayed are petulant ghouls known as """"shamblers"""".""",,,,,,"Don't tunnel vision on killing, as spawns are infinite. 

Attack to create space for objectives, or to make exits.",,
