Unlocks per Account Level,,**Some items require additional credits and/or merits to unlock. List does not contain EA Rewards,,
"If you have the level requirements for the following Logos (CRC, HERA, Cobra, NMRIH2 03, KPOP, Llama Drama, Cheez Rizz, Coaly Smokes, or Skull), please send me a DM. Thanks.",,,,
LVL,PERKS,GEAR / WEAPON,COSMETIC,
,,,CLOTHING,PATTERN / LOGO
1,All base perks,"Rescue Beacon
M67 Frag Grenade 
Mallet (Starter Item)
Kitchen Knife
Gruber MKVII (Starter Item)
Gruber 922","Bandana (Starter Item)
CRC Cap (Starter Item) 
Backwards CRC Cap
Denim Jacket (Starter Item)
Long Sleeve Shirt (Starter Item)
Polo Shirt (Starter Item)
Standard Issue Gloves (Starter Item)
Light Utility Pants (Starter Item)
Cargo Shorts (Starter Item)
Standard Issue Boots (Starter Item)
Standard Issue Compass (Starter Item)
Standard Issue Flashlight (Starter Item)","Buffalo Pattern
Pinstripe Pattern
Stained Pattern
Weave Pattern
NMRIH2 01 Logo (Starter Item)
NMRIH2 02 Logo (Starter Item)

"
2,Rush - Expert,.22 LR Ammo (x20),,
3,,"Model 13
Fierra DB12",Baseball Cap,
4,Adrenaline Rush - Expert,9mm Ammo (x20),,
5,,Flashlight Battery ,,
6,Stayin' Alive - Expert,Bandages,,
7,,12GA Shotgun Shells (x20),,Tartan Pattern
8,Scavenger - Expert,Barricade Stack (x5),,
9,,.45 ACP  Ammo (x20),,Squiggle Pattern
10,Grenadier - Expert,"Adjustable Wrench
Hunter 85",Safety Glasses,
11,Handgun Reloading - Expert,.357 Magnum Ammo (X20),,
12,Headblown - Expert,".308 WIN Ammo
Small Pipe",,
13,,5.56 NATO Ammo (x20),,Love Struck Pattern
14,Icarus - Expert,,,
15,,"6.8x51mm Ammo (x20)
M9A3",,
16,Limbo - Expert,,Latex Gloves,
17,,,,Box Pattern
18,Marathon Runner - Expert,Tire Iron,Tank Top,
19,,"Proximity IED 
Rochester 1873",Sunglasses ,
20,Longer Battery - Expert,M1911A1,Round Shades,
21,Shotgun Reloading - Expert,,,Community Center Logo
22,Mohawk -Expert,Rebar,,NMRIH2 x CHIV2 Logo
23,,,,
24,Hitman - Expert,Molotov Cocktail ,Toque,
25,,Gruber Ranch,,
26,,Cleaver,"Stetson 
Utility Hat",
27,Winged - Expert,,,Ash Pattern
28,Eagle Eye - Expert,Deployable Worklight ,Newsboy Cap,
29,,Large Wrench,,"Total Regional Collapse Logo
Zombie Head Logo"
30,,Nailer ,,
31,Locked On - Expert,Phalanx Pills,,
32,Vulture - Expert,Long Pipe,Trapper Hat,
33,,,Motorcycle Jacket ,
34,Rifle Reloading - Expert,Shovel,,
35,,,Backwards Baseball Cap,
36,Quiet Steps - Expert,Hockey Stick,Armour Gloves,
37,,Wood Baseball Bat,Headphones ,
38,Resident Genes - Expert,Ranger Boots ,Boonie Hat,
39,,Tree Trimmer,Sweatshirt,
40,Hard Blow - Expert,,,Crisscross Pattern
41,,Medkit ,,Happy Accidents Logo
42,Lucky Pathogen -Expert,,Formal Pants,
43,,,Plastic Face Mask,
44,Steel Chamber - Expert,,,Snake Pattern
45,,,Thin Winter Gloves,
46,Doorbreaker - Expert,,,Coral Logo
47,,Deployable Radio,,Bamboo Pattern
48,Thick Skin - Expert ,,High Beanie ,
49,"Steady Hand -Expert
Wicked -Expert",,,Tropical Pattern
50,Foreman - Expert,,Baseball Shirt ,
51,,Revive Syringe,,Stripes Pattern
52,Healing Item Stack - Expert,,,Plaid Pattern
53,,,,Splinter Pattern
54,Caravan - Expert,,Stud Gloves ,
55,,,Cargo Jeans,
56,Butcher - Expert,,,Kitten Mittens Logo
57,,Pipe Bomb ,,
58,Deprived - Expert,,Ballistic Mask ,
59,,Satchel ,Biker Boots ,
60,Penetrating Shot - Expert,,Motocross Gloves,
61,,,Beanie ,
62,,,Slim Jeans,
63,,,,"Mosaic Pattern
Oh No Draculas Logo"
64,Heavy Shoves - Expert,,Field Coat,
65,,,,
66,,,,
67,,,Combat Boots ,
68,Tight Shot - Expert,,,Polkadot Pattern
69,,,Hoodie ,
70,,,,
71,Builder - Expert,,,Skull Horn Logo
72,Athlete - Expert,,Workwear Trousers ,
73,,,,Blossom Pattern
74,Aquired Immunity - Expert,,,
75,Resilience - Expert,,,Herringbone Pattern
76,Steady Shot -Expert,,,Dazzle Pattern
77,,,,
78,,,,Pointer Pattern
79,,,Paintball Mask ,Apples Pattern
80,Headhunter - Expert,,,Node Pattern
81,,,,
82,,,,
83,,,Skull Mask ,Lattice Pattern
84,Hellfire - Expert,,,Kamon Pattern
85,,,,
86,,,Tactical Pants,
87,,,,Skull Pattern
88,Skilled Medic - Expert,,,Woodland Pattern
89,,,Ripstop Field Shirt ,
90,,,,
91,,,,Zombie Melon Logo
92,Mule - Expert,,,Ornate Pattern
93,,,Hooded Vest,
94,,,,UCP Pattern
95,,,,
96,Overkill - Expert,,,
97,,,,Fleur Pattern
98,,,,
99,,,,
100,Sturdy Body - Expert,,,
,,,,
100+,,,,
